GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
modulo1,br.com.modulo1,App,8,0,0,0,3,0,2,0,2,0
modulo1,br.com.modulo1.controller,Controller,0,15,0,2,0,4,0,3,0,2
modulo1,br.com.modulo1.models,Product,3,14,0,0,1,6,1,4,1,4
